,img,seg
0,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000000.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000000_Segmentation.png
1,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000001.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000001_Segmentation.png
2,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000002.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000002_Segmentation.png
3,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000004.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000004_Segmentation.png
4,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000006.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000006_Segmentation.png
5,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000007.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000007_Segmentation.png
6,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000008.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000008_Segmentation.png
7,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000009.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000009_Segmentation.png
8,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000010.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000010_Segmentation.png
9,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000011.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000011_Segmentation.png
10,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000016.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000016_Segmentation.png
11,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000017.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000017_Segmentation.png
12,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000018.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000018_Segmentation.png
13,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000019.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000019_Segmentation.png
14,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000021.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000021_Segmentation.png
15,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000024.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000024_Segmentation.png
16,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000025.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000025_Segmentation.png
17,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000026.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000026_Segmentation.png
18,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000028.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000028_Segmentation.png
19,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000029.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000029_Segmentation.png
20,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000030.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000030_Segmentation.png
21,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000031.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000031_Segmentation.png
22,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000032.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000032_Segmentation.png
23,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000034.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000034_Segmentation.png
24,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000035.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000035_Segmentation.png
25,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000038.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000038_Segmentation.png
26,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000039.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000039_Segmentation.png
27,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000041.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000041_Segmentation.png
28,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000042.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000042_Segmentation.png
29,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000044.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000044_Segmentation.png
30,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000045.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000045_Segmentation.png
31,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000046.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000046_Segmentation.png
32,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000047.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000047_Segmentation.png
33,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000048.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000048_Segmentation.png
34,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000049.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000049_Segmentation.png
35,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000050.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000050_Segmentation.png
36,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000051.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000051_Segmentation.png
37,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000054.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000054_Segmentation.png
38,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000055.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000055_Segmentation.png
39,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000058.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000058_Segmentation.png
40,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000059.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000059_Segmentation.png
41,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000060.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000060_Segmentation.png
42,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000061.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000061_Segmentation.png
43,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000062.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000062_Segmentation.png
44,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000063.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000063_Segmentation.png
45,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000065.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000065_Segmentation.png
46,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000067.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000067_Segmentation.png
47,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000068.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000068_Segmentation.png
48,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000073.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000073_Segmentation.png
49,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000074.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000074_Segmentation.png
50,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000075.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000075_Segmentation.png
51,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000077.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000077_Segmentation.png
52,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000078.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000078_Segmentation.png
53,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000079.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000079_Segmentation.png
54,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000080.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000080_Segmentation.png
55,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000081.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000081_Segmentation.png
56,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000082.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000082_Segmentation.png
57,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000085.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000085_Segmentation.png
58,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000086.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000086_Segmentation.png
59,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000087.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000087_Segmentation.png
60,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000089.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000089_Segmentation.png
61,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000091.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000091_Segmentation.png
62,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000093.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000093_Segmentation.png
63,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000094.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000094_Segmentation.png
64,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000095.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000095_Segmentation.png
65,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000096.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000096_Segmentation.png
66,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000097.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000097_Segmentation.png
67,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000100.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000100_Segmentation.png
68,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000102.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000102_Segmentation.png
69,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000103.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000103_Segmentation.png
70,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000104.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000104_Segmentation.png
71,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000105.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000105_Segmentation.png
72,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000108.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000108_Segmentation.png
73,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000109.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000109_Segmentation.png
74,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000110.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000110_Segmentation.png
75,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000112.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000112_Segmentation.png
76,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000114.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000114_Segmentation.png
77,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000116.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000116_Segmentation.png
78,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000118.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000118_Segmentation.png
79,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000119.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000119_Segmentation.png
80,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000120.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000120_Segmentation.png
81,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000121.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000121_Segmentation.png
82,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000122.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000122_Segmentation.png
83,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000123.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000123_Segmentation.png
84,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000124.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000124_Segmentation.png
85,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000127.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000127_Segmentation.png
86,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000128.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000128_Segmentation.png
87,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000130.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000130_Segmentation.png
88,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000131.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000131_Segmentation.png
89,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000133.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000133_Segmentation.png
90,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000134.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000134_Segmentation.png
91,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000135.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000135_Segmentation.png
92,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000137.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000137_Segmentation.png
93,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000139.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000139_Segmentation.png
94,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000140.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000140_Segmentation.png
95,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000142.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000142_Segmentation.png
96,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000143.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000143_Segmentation.png
97,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000145.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000145_Segmentation.png
98,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000146.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000146_Segmentation.png
99,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000147.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000147_Segmentation.png
100,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000148.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000148_Segmentation.png
101,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000150.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000150_Segmentation.png
102,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000151.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000151_Segmentation.png
103,ISBI2016_ISIC_Part1_Training_Data/ISIC_0000152.jpg,ISBI2016_ISIC_Part1_Training_GroundTruth/ISIC_0000152_Segmentation.png
